,BPagano,UGA-CEID,Columbia-UNC,MIT-ORC,Ensemble,Columbia,DDS,LSHTM,Google-HSPH,JHU-CSSE,JHU-APL,Karlen,LANL,LNQ,Microsoft,MIT-LCP,MOBS,Oliver Wyman,SignatureScience,CovidComplete,UA,UCSD-NEU,UMass-MB,UM,USC,UT
2021-04-27,486.42857142857144,479.7142857142857,494.7142857142857,480.85714285714283,486.42857142857144,474.0,475.85714285714283,489.85714285714283,499.0,484.14285714285717,489.0,488.2857142857143,482.14285714285717,476.85714285714283,491.14285714285717,528.0,481.7142857142857,480.2857142857143,499.14285714285717,495.2857142857143,499.85714285714283,471.0,487.42857142857144,500.14285714285717,489.42857142857144,496.7142857142857
2021-04-28,487.57142857142856,480.2857142857143,496.2857142857143,481.14285714285717,487.57142857142856,474.0,476.14285714285717,491.14285714285717,501.0,484.85714285714283,490.0,489.7142857142857,482.85714285714283,477.14285714285717,492.85714285714283,531.0,482.2857142857143,480.7142857142857,500.85714285714283,496.7142857142857,503.14285714285717,471.0,488.57142857142856,501.85714285714283,490.57142857142856,498.2857142857143
2021-04-29,488.7142857142857,480.85714285714283,497.85714285714283,481.42857142857144,488.7142857142857,474.0,476.42857142857144,492.42857142857144,503.0,485.57142857142856,491.0,491.14285714285717,483.57142857142856,477.42857142857144,494.57142857142856,534.0,482.85714285714283,481.14285714285717,502.57142857142856,498.14285714285717,506.42857142857144,471.0,489.7142857142857,503.57142857142856,491.7142857142857,499.85714285714283
2021-04-30,489.85714285714283,481.42857142857144,499.42857142857144,481.7142857142857,489.85714285714283,474.0,476.7142857142857,493.7142857142857,505.0,486.2857142857143,492.0,492.57142857142856,484.2857142857143,477.7142857142857,496.2857142857143,537.0,483.42857142857144,481.57142857142856,504.2857142857143,499.57142857142856,509.7142857142857,471.0,490.85714285714283,505.2857142857143,492.85714285714283,501.42857142857144
2021-05-01,491.0,482.0,501.0,482.0,491.0,474.0,477.0,495.0,507.0,487.0,493.0,494.0,485.0,478.0,498.0,540.0,484.0,482.0,506.0,501.0,513.0,471.0,492.0,507.0,494.0,503.0
2021-05-02,492.42857142857144,482.42857142857144,502.57142857142856,482.2857142857143,492.42857142857144,474.0,477.14285714285717,496.42857142857144,509.14285714285717,487.85714285714283,494.0,495.85714285714283,485.7142857142857,478.42857142857144,499.42857142857144,543.7142857142857,484.57142857142856,482.42857142857144,507.57142857142856,502.42857142857144,516.7142857142857,471.0,493.2857142857143,508.7142857142857,495.14285714285717,504.57142857142856
2021-05-03,493.85714285714283,482.85714285714283,504.14285714285717,482.57142857142856,493.85714285714283,474.0,477.2857142857143,497.85714285714283,511.2857142857143,488.7142857142857,495.0,497.7142857142857,486.42857142857144,478.85714285714283,500.85714285714283,547.4285714285714,485.14285714285717,482.85714285714283,509.14285714285717,503.85714285714283,520.4285714285714,471.0,494.57142857142856,510.42857142857144,496.2857142857143,506.14285714285717
2021-05-04,495.2857142857143,483.2857142857143,505.7142857142857,482.85714285714283,495.2857142857143,474.0,477.42857142857144,499.2857142857143,513.4285714285714,489.57142857142856,496.0,499.57142857142856,487.14285714285717,479.2857142857143,502.2857142857143,551.1428571428571,485.7142857142857,483.2857142857143,510.7142857142857,505.2857142857143,524.1428571428571,471.0,495.85714285714283,512.1428571428571,497.42857142857144,507.7142857142857
2021-05-05,496.7142857142857,483.7142857142857,507.2857142857143,483.14285714285717,496.7142857142857,474.0,477.57142857142856,500.7142857142857,515.5714285714286,490.42857142857144,497.0,501.42857142857144,487.85714285714283,479.7142857142857,503.7142857142857,554.8571428571429,486.2857142857143,483.7142857142857,512.2857142857143,506.7142857142857,527.8571428571429,471.0,497.14285714285717,513.8571428571429,498.57142857142856,509.2857142857143
2021-05-06,498.14285714285717,484.14285714285717,508.85714285714283,483.42857142857144,498.14285714285717,474.0,477.7142857142857,502.14285714285717,517.7142857142857,491.2857142857143,498.0,503.2857142857143,488.57142857142856,480.14285714285717,505.14285714285717,558.5714285714286,486.85714285714283,484.14285714285717,513.8571428571429,508.14285714285717,531.5714285714286,471.0,498.42857142857144,515.5714285714286,499.7142857142857,510.85714285714283
2021-05-07,499.57142857142856,484.57142857142856,510.42857142857144,483.7142857142857,499.57142857142856,474.0,477.85714285714283,503.57142857142856,519.8571428571429,492.14285714285717,499.0,505.14285714285717,489.2857142857143,480.57142857142856,506.57142857142856,562.2857142857143,487.42857142857144,484.57142857142856,515.4285714285714,509.57142857142856,535.2857142857143,471.0,499.7142857142857,517.2857142857143,500.85714285714283,512.4285714285714
2021-05-08,501.0,485.0,512.0,484.0,501.0,474.0,478.0,505.0,522.0,493.0,500.0,507.0,490.0,481.0,508.0,566.0,488.0,485.0,517.0,511.0,539.0,471.0,501.0,519.0,502.0,514.0
2021-05-09,501.0,485.0,512.0,484.0,501.0,474.0,478.0,505.0,522.0,493.0,500.0,507.0,490.0,481.0,508.0,566.0,488.0,485.0,517.0,511.0,539.0,471.0,501.0,519.0,502.0,514.0
